Price,rsi,macd_line,signal_line,macd_hist,bb_mid,bb_upper,bb_lower,momentum_ts,returns,volatility,rolling_volatility,roll_mean_10,roll_std_10,roll_min_10,roll_max_10,Volume,volume_ma,rvol,obv,vol_roll_mean_10,vol_roll_std_10,vol_roll_min_10,vol_roll_max_10,atr,macd_v
9.794287370240116e-05,-0.00016149405518933754,0.00010496796539390613,0.0001892872434767295,2.6238687003624892e-05,0.00018566731022995613,9.657316814113806e-05,7.822308635545925e-05,-0.00018952006946836426,-0.0002631820514890243,0.0,0.00016689599418038534,-2.9304429510017836e-05,0.00015329793261981668,-0.00011687589388079856,7.629687947521346e-05,-7.533965032188656e-05,-5.884749511213913e-05,-0.00017471700841298823,-0.0001638819057242158,-0.0005750945654364836,0.0009899275296176367,5.7020877683269175e-05,-0.00033371776866482453,4.229666445584425e-05,4.987211279231381e-07
0.00012691195007431445,-5.59976117010426e-05,3.8479972768243394e-05,0.00021375223896411366,-4.079182689684706e-05,0.0002533861047866827,7.8992112896621e-05,-0.00012289146024012617,-0.0001654116353509036,0.00016046508439945058,0.0,0.00012329128840655982,-3.768974738589245e-05,-9.053371701892988e-05,-0.00013750799354323999,0.00016132368150143176,0.0001787702348893026,-0.0003499484227720854,-1.652475582503605e-05,-0.00015776502108427634,-0.0006024497454006564,0.0003577482013741942,6.77951043434163e-05,-0.0006239964266159901,0.00012884625692259548,5.871376954278933e-06
0.00018487344655426113,5.0263768463092364e-05,-3.217810980468579e-05,4.823142964407057e-05,9.330049082564386e-05,0.00024138406142516417,-5.4544366963209755e-06,-0.00017259371793475415,-0.00019325431377136066,-0.00047486125489931485,0.0,-3.9254637521873604e-05,-0.00016637803419667927,-0.00026545143126582626,-5.568541568225383e-05,2.4513731099798237e-06,0.00020266428196709854,-0.0004037737215135288,-0.00014535637755743003,-0.00020551092722453278,-0.0011216561273369658,0.0007031428970729505,5.50832827780117e-06,-0.00040648771109965293,7.317444082895297e-05,-2.4521760797525752e-05
0.0001773688061271392,0.0001806144615508849,4.574673979317007e-05,0.00010908573764519879,0.00010301926337269996,0.0003749395610253733,-2.922803902805142e-05,-0.00017006115134100326,-9.259456311591375e-05,0.0005558325657636099,0.0,9.449898139165936e-05,-0.00015780161983997284,-6.537064445873526e-05,8.677125553928785e-05,4.104325140942125e-05,0.001955185635279981,-0.0007379140786722681,7.834639063497581e-05,-0.00017716035289639775,-0.0010186790941106637,4.451026009031355e-05,0.0001061044541318778,-0.00038581597532849615,0.00011199259866872406,-8.020349636937554e-05
0.00014531882849635309,-0.00013785243252345127,3.9111165250390715e-05,7.667809894457808e-05,-0.00020781896291513857,7.907465463653889e-05,0.000197946688591354,-0.00018720662079158468,-0.0002657725454072377,0.00011526340237490928,0.0,0.00020367286160506042,-3.347649826297471e-05,-4.81066833020034e-05,6.632374857485978e-05,1.7776021502532303e-05,0.00043854036705429333,-0.0008459093482204809,-0.000463721402632661,-0.00023730635835683277,0.00031045028451380616,-0.0003681718945173122,-0.00010701520870182457,-0.0003991178162988461,8.38427324451092e-05,-0.00014342916721761097
0.00038570145810594084,-3.399720910400652e-05,-8.250491959985901e-05,4.932266493109099e-05,-2.9729461035295365e-05,7.371621337594026e-05,9.474089704525197e-05,-0.00014859463623379841,-0.00011723520583823495,0.00018771888040460924,0.0,0.00019524198357916847,-0.00013140787433016255,-4.112065429764967e-05,5.162081442051432e-05,7.985805820480706e-05,0.0005646831653698795,-0.000787730258484239,-0.0003548228372889763,-0.0002201999638349073,0.0006290203416979043,-0.00019828543083789068,-4.4231187293212085e-05,-0.0003902467213257226,9.683476760636819e-05,-4.932338653522125e-05
0.00013563192221707602,-2.3586938378488265e-06,4.74960730553462e-05,0.00015190121497930578,-6.68880888503238e-05,0.00024070022660598346,6.15652477896758e-05,-8.023775179896942e-05,-0.00018882022992080483,-0.0003156928528345531,0.0,6.463101604082951e-05,-4.232896903624725e-05,-0.0001555894416994749,-0.00013176072908201015,7.025489105909048e-05,0.0007814829050362351,-0.0004762521332540818,-2.3426475458745694e-06,-0.00017373580586985327,-0.0004548987060491106,-0.0001021595459496425,-7.414851691339898e-05,-0.00030787030628279363,0.0001626469350308644,-1.4287016232707861e-05
0.0002065079843779856,-2.132263629517997e-05,5.117981907667361e-05,0.00024346418410811334,-0.0001026014820946461,0.00019861171563695284,7.87077830945441e-05,-0.00011956981173942826,-0.0003583810209886175,0.0004631596003587176,0.0,0.00038288535592008205,-7.283479466824672e-05,-0.00019801262244770225,-0.00015365437214949948,0.0001098397089006562,0.00039139624319555985,-0.0005559402996877924,-0.0005215128100124487,-0.00020451843284240482,-0.0005817144433105781,-0.0002912083107166345,-0.00015111985398787305,-0.0004491057263433347,4.5087756974495365e-05,6.44940642054934e-05
0.0004069920693472824,-6.486255040081366e-05,2.2341705210536636e-05,9.445619030307213e-05,-0.00012025721569050046,0.00017300805751325284,-0.00011189041757368827,-0.0001305901547386873,-0.00014621661685497255,9.494354863666457e-05,0.0,0.00024309443508728506,-8.22997971151843e-05,-6.47232023647719e-05,-3.0545782925062705e-05,0.00014662301734579924,0.00021697655243633002,-0.00037056758118055055,-0.00047752165890779666,-0.00012021559077260605,-0.000777323206528528,-0.00011480674642396711,-6.720164622748942e-05,-0.0003294376910787425,-6.491555790244884e-06,4.71109390693093e-06
0.0004536860341061159,-9.801106759142374e-06,5.183635400948775e-05,0.00014683276091250036,-0.00017418075634253235,0.0003302712789564877,-5.563790288011262e-05,-8.020618856617945e-05,4.085993863489533e-05,-0.00010595940841889334,0.0,0.00014799598575741834,-7.15888478365208e-05,-4.641453524818191e-05,-4.07675183195928e-06,0.00020447481495660714,0.0016730827063537032,-0.0005410294300283038,-8.632633957810007e-05,-0.00024112012000542101,-0.0009691375387852042,0.0002371320601140238,-0.0006563857577276154,-0.00022670202756781087,-1.899880348154159e-05,9.456361428917862e-05
