y_true,y_pred,difference,abs_difference
-0.00499371539219351,-0.0002815092666743202,-0.00471220612551919,0.00471220612551919
0.015192898600204785,-0.0009105440624867289,0.016103442662691515,0.016103442662691515
-0.007129645199260182,-0.0025120927660647286,-0.004617552433195453,0.004617552433195453
-0.009788978084882993,0.0007455616403358412,-0.010534539725218834,0.010534539725218834
-0.010877745091331992,-0.0020755753920888597,-0.008802169699243132,0.008802169699243132
0.01784479181076226,-0.0006256398082377457,0.018470431619000006,0.018470431619000006
-0.007542810546344092,-0.0012777303102723381,-0.006265080236071753,0.006265080236071753
-0.014686751112632623,-0.0019508317083623127,-0.01273591940427031,0.01273591940427031
0.0006601577429554695,-0.0020164740517178504,0.00267663179467332,0.00267663179467332
-0.007118055555555558,-0.00031149927390785817,-0.0068065562816477,0.0068065562816477
0.024200034971148865,0.0008120023703018697,0.023388032600846997,0.023388032600846997
0.014306688974630388,-0.0015211190529386986,0.015827808027569088,0.015827808027569088
-0.050326533360263936,-0.004526058458741712,-0.045800474901522226,0.045800474901522226
0.0040409769238949345,0.002362276194744095,0.0016787007291508395,0.0016787007291508395
0.0014827890556046164,-7.081054917563722e-05,0.0015535996047802536,0.0015535996047802536
-0.028166531533119432,0.0019062946793883461,-0.03007282621250778,0.03007282621250778
0.0031921067904816525,-0.005591629793166662,0.008783736583648314,0.008783736583648314
-0.013414810529360666,-0.003296139339144634,-0.010118671190216031,0.010118671190216031
-0.010152098222466543,-0.0025025747164879155,-0.007649523505978628,0.007649523505978628
-0.0012959123222748836,-0.0011532769788033682,-0.00014263534347151545,0.00014263534347151545
-0.009787565343120863,0.0018047046618596464,-0.011592270004980509,0.011592270004980509
-0.0002995245048486028,0.003372569156513282,-0.003672093661361885,0.003672093661361885
0.0013108123291263318,0.0024928755597202856,-0.0011820632305939538,0.0011820632305939538
-0.012903949730700193,0.0016634087092291883,-0.01456735843992938,0.01456735843992938
-0.008449850327763242,0.0030633527388577142,-0.011513203066620957,0.011513203066620957
0.0008407214918983996,0.003993710610782596,-0.003152989118884196,0.003152989118884196
0.01424207712867509,0.0050411088030298265,0.009200968325645265,0.009200968325645265
-0.018785528742988333,0.005788643864686245,-0.02457417260767458,0.02457417260767458
0.00023020257826877888,0.003633494791570292,-0.003403292213301513,0.003403292213301513
0.002148062907556536,0.002714682003843315,-0.0005666190962867789,0.0005666190962867789
-0.01814284620684381,0.004099045997025855,-0.022241892203869663,0.022241892203869663
0.003820364883829752,0.0056159802194292495,-0.0017956153355994974,0.0017956153355994974
-0.0023689320388349255,0.004892659280786492,-0.007261591319621417,0.007261591319621417
0.007318307446767092,0.005471340208640635,0.0018469672381264566,0.0018469672381264566
0.004328167871082478,0.005998550532830574,-0.0016703826617480962,0.0016703826617480962
0.004501904651968092,0.006914585779818514,-0.002412681127850422,0.002412681127850422
-0.013406879644526137,0.005628009847827936,-0.019034889492354073,0.019034889492354073
-0.012657244913806487,0.006872487964350312,-0.0195297328781568,0.0195297328781568
-0.0002752654345261618,0.0031334133081131,-0.0034086787426392618,0.0034086787426392618
-0.018880541242182303,0.0034405620732440544,-0.022321103315426357,0.022321103315426357
0.00036082267570058946,0.003728611941872829,-0.0033677892661722396,0.0033677892661722396
0.002605001603077861,0.004992688454600248,-0.0023876868515223873,0.0023876868515223873
0.003557580845025443,0.004904411284596041,-0.001346830439570598,0.001346830439570598
-0.0011551023659682746,0.004624699914429142,-0.005779802280397417,0.005779802280397417
0.002791402480360583,0.005126976556470279,-0.002335574076109696,0.002335574076109696
-0.0056865630095040975,0.004675730902700008,-0.010362293912204106,0.010362293912204106
0.006878899376099756,0.007214004222774919,-0.0003351048466751624,0.0003351048466751624
0.0050047664442325335,0.006387660906099319,-0.0013828944618667852,0.0013828944618667852
-0.011501067109319418,0.005356217398799319,-0.016857284508118738,0.016857284508118738
-0.009795689896445525,0.007650526749200317,-0.017446216645645843,0.017446216645645843
0.02446903012194146,0.010311120778554544,0.014157909343386916,0.014157909343386916
-0.007843291817751896,0.005032645721626875,-0.012875937539378771,0.012875937539378771
