Date,y_true,y_pred,position,turnover,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2018-05-21,-0.0006749373272482151,-0.0001279041617436097,0,0.0,-0.0,-0.0006749373272482151,1.0,0.9993250626727518
2018-05-18,-0.003441289036117401,0.00039185920222110406,1,1.0,-0.004441289036117401,-0.003441289036117401,0.9955587109638826,0.9958860962910587
2018-05-17,0.0006777254243852671,0.0006466751365337368,1,0.0,0.0006777254243852671,0.0006777254243852671,0.996233426413771,0.996561033618307
2018-05-16,0.005772889992582408,0.0007410468112625645,1,0.0,0.005772889992582408,0.005772889992582408,1.0019845723913912,1.0023140708362797
2018-05-15,0.00994035785288272,0.0011709946021049925,1,0.0,0.00994035785288272,0.00994035785288272,1.0119446576040292,1.0122774313813718
2018-05-14,0.00012700025400058657,0.00032580606168460154,1,0.0,0.00012700025400058657,0.00012700025400058657,1.0120731748325795,1.0124059908722762
2018-05-11,-0.004698412698412646,0.00047613344395651923,1,0.0,-0.004698412698412646,-0.004698412698412646,1.0073180373762234,1.007649289708813
2018-05-10,-0.0015628986986475635,0.0007761111867197572,1,0.0,-0.0015628986986475635,-0.0015628986986475635,1.0057437013264838,1.0060744359452338
2018-05-09,-0.0032904194486151894,0.0005857262256074476,1,0.0,-0.0032904194486151894,-0.0032904194486151894,1.002434382691317,1.002764029054445
2018-05-08,0.0015064102564101844,0.0002820475369490795,1,0.0,0.0015064102564101844,0.0015064102564101844,1.0039444601267813,1.0042746030725718
2018-05-07,-0.005728549940794303,-0.00019192083810064264,0,1.0,-0.001,-0.005728549940794303,1.0029405156666544,0.9985215658545992
2018-05-04,-0.0020921848847689217,-0.0008067905717823714,0,0.0,-0.0,-0.0020921848847689217,1.0029405156666544,0.9964324741274024
2018-05-03,-0.0024836306163920074,-0.0003187594390624462,0,0.0,-0.0,-0.0024836306163920074,1.0029405156666544,0.9939577039274924
2018-05-02,-0.0016814330983638826,-4.959777979631971e-05,0,0.0,-0.0,-0.0016814330983638826,1.0029405156666544,0.992286430545735
2018-05-01,0.002364449050981321,-0.0001830546307571082,0,0.0,0.0,0.002364449050981321,1.0029405156666544,0.9946326412547405
2018-04-30,0.005881022393123825,0.0003962680941793587,1,1.0,0.004881022393123825,0.005881022393123825,1.0078358907825946,1.0004820980908915
2018-04-27,0.0009316071830125505,0.00037374911356753866,1,0.0,0.0009316071830125505,0.0009316071830125505,1.0087747979377455,1.0014141543999484
2018-04-26,0.004589511521920553,0.0003293956147337896,1,0.0,0.004589511521920553,0.004589511521920553,1.0134045814959038,1.0060101561997814
2018-04-25,-0.0012459665825372834,0.00012977882664754435,1,0.0,-0.0012459665825372834,-0.0012459665825372834,1.0121419132527698,1.0047567011634633
2018-04-24,-0.0031347962382445305,-4.736775940704027e-05,0,1.0,-0.001,-0.0031347962382445305,1.011129771339517,1.001606993636305
2018-04-23,0.004813246053138265,0.00015612498444207007,1,1.0,0.003813246053138265,0.004813246053138265,1.0149854579492883,1.0064279745452207
2018-04-20,0.0052692086606629385,-0.00015845407788042144,0,1.0,-0.001,0.0052692086606629385,1.013970472491339,1.011731053545028
2018-04-19,-0.002191937482130979,-3.493475780450353e-05,0,0.0,-0.0,-0.002191937482130979,1.013970472491339,1.0095134023269268
2018-04-18,-0.004871060171919739,5.766734568768417e-05,1,1.0,-0.005871060171919739,-0.004871060171919739,1.0080173908347925,1.004596001799833
2018-04-17,-0.0028793550244745614,0.0004374387555241624,1,0.0,-0.0028793550244745614,-0.0028793550244745614,1.0051149508957347,1.0017034132544835
2018-04-16,-0.0051978053710655114,0.0006375495396764262,1,0.0,-0.0051978053710655114,-0.0051978053710655114,0.9998905590054306,0.9964967538728547
2018-04-13,-0.0034833091436865526,0.0006520343965989838,1,0.0,-0.0034833091436865526,-0.0034833091436865526,0.9964076310785611,0.9930256476184355
2018-04-12,0.011230863837913052,0.0011764040438337967,1,0.0,0.011230863837913052,0.011230863837913052,1.007598149510262,1.0041781834543935
2018-04-11,-0.014274740750224058,0.00203363501546046,1,0.0,-0.014274740750224058,-0.014274740750224058,0.9932149471455974,0.9898438002185511
2018-04-10,-0.003993765828949947,0.0011589976760744882,1,0.0,-0.003993765828949947,-0.003993765828949947,0.989248279228885,0.9858905958732403
2018-04-09,-0.002281988590057016,0.0008536801995327106,1,0.0,-0.002281988590057016,-0.002281988590057016,0.9869908259429512,0.9836408047824131
2018-04-06,-0.003267439960790708,0.0012093676577594244,1,0.0,-0.003267439960790708,-0.003267439960790708,0.9837658926773314,0.9804268175098028
2018-04-05,0.012489755777741252,-0.00023951862987558505,0,1.0,-0.001,0.012489755777741252,0.982782126784654,0.9926721090184483
